T1B07-Technician-us-2018-2022|T1B07|Which of the following VHF/UHF frequency ranges are limited to CW only?|A||97.305(a), (c)|50.0 MHz to 50.1 MHz and 144.0 MHz to 144.1 MHz|219 MHz to 220 MHz and 420.0 MHz to 420.1 MHz|902.0 MHz to 902.1 MHZ|All of these choices are correct
T1B08-Technician-us-2018-2022|T1B08|Which of the following is a result of the fact that the Amateur Radio Service is secondary in all or portions of some amateur bands (such as portions of the 70 cm band)?|C||97.303|U.S. amateurs must give foreign amateur stations priority in those portions|Digital transmissions are not permitted in those portions|U.S. amateurs may find non-amateur stations in those portions, and must avoid interfering with them|International communications are not permitted in those portions
T1B09-Technician-us-2018-2022|T1B09|Why should you not set your transmit frequency to be exactly at the edge of an amateur band or sub-band?|D||97.101(a), 97.301(a-e)|To allow for calibration error in the transmitter frequency display|To allow for transmitter frequency drift|So that modulation sidebands do not extend beyond the band edge|All of these choices are correct
T1B10-Technician-us-2018-2022|T1B10|Which of the following HF bands have frequencies available to the Technician class operator for RTTY and data transmissions?|B||97.301(e), 97.305(c)|10 meter, 15 meter, 40 meter, and 80 meter bands|10 meter band only|10 meter, 12 meter, 17 meter, and 40 meter bands|30 meter band only
T1B11-Technician-us-2018-2022|T1B11|What is the maximum peak envelope power output for Technician class operators using their assigned portions of the HF bands?|B||97.313|50 watts|200 watts|100 watts|10 watts
T1B12-Technician-us-2018-2022|T1B12|Except for some specific restrictions, what is the maximum peak envelope power output for Technician class operators using frequencies above 30 MHz?|B||97.313(b)|100 watts|1500 watts|500 watts|50 watts
T1C01-Technician-us-2018-2022|T1C01|For which license classes are new licenses currently available from the FCC?|A||97.9(a), 97.17(a)|Technician, General, Amateur Extra|Novice, Technician Plus, General, Advanced|Novice, Technician, General, Advanced|Technician, Technician Plus, General, Advanced
T1C02-Technician-us-2018-2022|T1C02|Who may select a desired call sign under the vanity call sign rules?|D||97.19|Only a licensed amateur with an Amateur Extra class license|Only a licensed amateur who has been licensed continuously for more than 10 years|Only a licensed amateur with a General or Amateur Extra class license|Any licensed amateur
T1C03-Technician-us-2018-2022|T1C03|What types of international communications is an FCC-licensed amateur radio station permitted to make?|A||97.117|Communications incidental to the purposes of the Amateur Radio Service and remarks of a personal character|Only communications incidental to contest exchanges, all other communications are prohibited|Any communications that would be permitted by an international broadcast station|Communications incidental to conducting business or remarks of a personal nature
T1C04-Technician-us-2018-2022|T1C04|When are you allowed to operate your amateur station in a foreign country?|D||97.107|When you are communicating with non-licensed individuals in another country|When there is a mutual agreement allowing third party communications|When authorization permits amateur communications in a foreign language|When the foreign country authorizes it
T1C05-Technician-us-2018-2022|T1C05|Which of the following is a valid call sign for a Technician class amateur radio station?|A|||K1XXX|W1XX|KA1X|All of these choices are correct
T1C06-Technician-us-2018-2022|T1C06|From which of the following locations may an FCC-licensed amateur station transmit?|B||97.5(a)(2)|From within any country that is a member of the United Nations|From any vessel or craft located in international waters and documented or registered in the United States|From within any country that belongs to the International Telecommunications Union|From anywhere within International Telecommunications Union (ITU) Regions 2 and 3
T1C07-Technician-us-2018-2022|T1C07|What may result when correspondence from the FCC is returned as undeliverable because the grantee failed to provide and maintain a correct mailing address with the FCC?|A||97.23|Revocation of the station license or suspension of the operator license|Require the licensee to be re-examined|A reduction of one rank in operator class|Fine or imprisonment
T1C08-Technician-us-2018-2022|T1C08|What is the normal term for an FCC-issued primary station/operator amateur radio license grant?|B||97.25|Life|Ten years|Twenty years|Five years
T1C09-Technician-us-2018-2022|T1C09|What is the grace period following the expiration of an amateur license within which the license may be renewed?|B||97.21(a)(b)|Three years|Two years|Five years|Ten years
T1C10-Technician-us-2018-2022|T1C10|How soon after passing the examination for your first amateur radio license may you operate a transmitter on an Amateur Radio Service frequency?|D||97.5a|You must wait until you receive your license in the mail from the FCC|Immediately|30 days after the test date|As soon as your operator/station license grant appears in the FCC’s license database
T1C11-Technician-us-2018-2022|T1C11|If your license has expired and is still within the allowable grace period, may you continue to operate a transmitter on Amateur Radio Service frequencies?|B||97.21(b)|Yes, but only if you identify using the suffix GP|No, transmitting is not allowed until the FCC license database shows that the license has been renewed|Yes, for up to two years|Yes, but only during authorized nets
T1D01-Technician-us-2018-2022|T1D01|With which countries are FCC-licensed amateur radio stations prohibited from exchanging communications?|A||97.111(a)(1)|Any country whose administration has notified the International Telecommunications Union (ITU) that it objects to such communications|Any country in violation of the War Powers Act of 1934|Any country whose administration has notified the American Radio Relay League (ARRL) that it objects to such communications|Any country engaged in hostilities with another country
T1D02-Technician-us-2018-2022|T1D02|Under which of the following circumstances may an amateur radio station make one-way transmissions?|B||97.113(b),97.111(b)|At any time, as long as no music is transmitted|When transmitting code practice, information bulletins, or transmissions necessary to provide emergency communications|At any time, as long as the material being transmitted did not originate from a commercial broadcast station|Under no circumstances
T1D03-Technician-us-2018-2022|T1D03|When is it permissible to transmit messages encoded to hide their meaning?|C||97.211(b), 97.215(b), 97.114(a)(4)|Only during contests|Only when operating mobile|Only when transmitting control commands to space stations or radio control craft|Only when frequencies above 1280 MHz are used
T1D04-Technician-us-2018-2022|T1D04|Under what conditions is an amateur station authorized to transmit music using a phone emission?|C||97.113(a)(4), 97.113(c)|When the music is transmitted above 1280 MHz|When the purpose is to interfere with an illegal transmission|When incidental to an authorized retransmission of manned spacecraft communications|When the music produces no spurious emissions
T1D05-Technician-us-2018-2022|T1D05|When may amateur radio operators use their stations to notify other amateurs of the availability of equipment for sale or trade?|D||97.113(a)(3)(ii)|When the equipment is not the personal property of either the station licensee or the control operator or their close relatives|When the asking price is less than its appraised value|When the asking price is $100.00 or less|When the equipment is normally used in an amateur station and such activity is not conducted on a regular basis
T1D06-Technician-us-2018-2022|T1D06|What, if any, are the restrictions concerning transmission of language that may be considered indecent or obscene?|A||97.113(a)(4)|Any such language is prohibited|The ITU maintains a list of words that are not permitted to be used on amateur frequencies|There is no such prohibition|The FCC maintains a list of words that are not permitted to be used on amateur frequencies
T1D07-Technician-us-2018-2022|T1D07|What types of amateur stations can automatically retransmit the signals of other amateur stations?|C||97.113(d)|Auxiliary, beacon, or Earth stations|Earth, repeater, or space stations|Repeater, auxiliary, or space stations|Beacon, repeater, or space stations
T1D08-Technician-us-2018-2022|T1D08|In which of the following circumstances may the control operator of an amateur station receive compensation for operating that station?|B||97.113(a)(3)(iii)|When the communication is related to the sale of amateur equipment by the control operator's employer|When the communication is incidental to classroom instruction at an educational institution|When the communication is made to obtain emergency information for a local broadcast station|All of these choices are correct
T1D09-Technician-us-2018-2022|T1D09|Under which of the following circumstances are amateur stations authorized to transmit signals related to broadcasting, program production, or news gathering, assuming no other means is available?|B||97.113(5)(b)|Only when broadcasting communications to or from the space shuttle|Only where such communications directly relate to the immediate safety of human life or protection of property|Only when using amateur repeaters linked to the internet|Only where noncommercial programming is gathered and supplied exclusively to the National Public Radio network
T1D10-Technician-us-2018-2022|T1D10|What is the meaning of the term broadcasting in the FCC rules for the Amateur Radio Service?|A||97.3(a)(10)|Transmissions intended for reception by the general public|Transmission of messages directed only to amateur operators|Two-way transmissions by amateur stations|Transmission of music
T1D11-Technician-us-2018-2022|T1D11|When may an amateur station transmit without on-the-air identification?|C||97.119(a)|When the transmissions are unmodulated|When the transmitted power level is below 1 watt|When transmitting signals to control model craft|When the transmissions are of a brief nature to make station adjustments
T1E01-Technician-us-2018-2022|T1E01|When is an amateur station permitted to transmit without a control operator?|B||97.7(a)|When the station licensee is away and another licensed amateur is using the station|Never|When using automatic control, such as in the case of a repeater|When the transmitting station is an auxiliary station
T1E02-Technician-us-2018-2022|T1E02|Who may be the control operator of a station communicating through an amateur satellite or space station?|C||97.301, 97.207(c)|A General class or higher licensee who has a satellite operator certification|Only an Amateur Extra Class operator who is also an AMSAT member|Any amateur whose license privileges allow them to transmit on the satellite uplink frequency|Only an Amateur Extra Class operator
T1E03-Technician-us-2018-2022|T1E03|Who must designate the station control operator?|A||97.103(b)|The station licensee|The frequency coordinator|The ITU|The FCC
T1E04-Technician-us-2018-2022|T1E04|What determines the transmitting privileges of an amateur station?|C||97.103(b)|The frequency authorized by the frequency coordinator|The frequencies printed on the license grant|The class of operator license held by the control operator|The highest class of operator license held by anyone on the premises
T1E05-Technician-us-2018-2022|T1E05|What is an amateur station control point?|B||97.3(a)(14)|The mailing address of the station licensee|The location at which the control operator function is performed|The location of the station’s transmitting antenna|The location of the station transmitting apparatus
T1E06-Technician-us-2018-2022|T1E06|When, under normal circumstances, may a Technician class licensee be the control operator of a station operating in an exclusive Amateur Extra class operator segment of the amateur bands?|A||97.301|At no time|As part of a multi-operator contest team|When operating a special event station|When using a club station whose trustee is an Amateur Extra class operator licensee
T1E07-Technician-us-2018-2022|T1E07|When the control operator is not the station licensee, who is responsible for the proper operation of the station?|B||97.103(a)|Only the station licensee|The control operator and the station licensee are equally responsible|All licensed amateurs who are present at the operation|Only the control operator
T1E08-Technician-us-2018-2022|T1E08|Which of the following is an example of automatic control?|A||97.3(a)(6), 97.205(d)|Repeater operation|Controlling the station over the internet|Using a computer or other device to identify automatically|Using a computer or other device to send CW automatically
T1E09-Technician-us-2018-2022|T1E09|Which of the following is true of remote control operation?|D||97.109(c)|A control operator is required at all times|The control operator indirectly manipulates the controls|The control operator must be at the control point|All of these choices are correct
T1E10-Technician-us-2018-2022|T1E10|Which of the following is an example of remote control as defined in Part 97?|B||97.3(a)(39)|Controlling a model aircraft, boat, or car by amateur radio|Operating the station over the internet|Repeater operation|All of these choices are correct
T1E11-Technician-us-2018-2022|T1E11|Who does the FCC presume to be the control operator of an amateur station, unless documentation to the contrary is in the station records?|B||97.103(a)|The station custodian|The station licensee|The person operating the station equipment|The third-party participant
T1F01-Technician-us-2018-2022|T1F01|When must the station licensee make the station and its records available for FCC inspection?|D||97.103(c)|At any time ten days after notification by the FCC of such an inspection|Only after failing to comply with an FCC notice of violation|Only when presented with a valid warrant by an FCC official or government agent|At any time upon request by an FCC representative
T1F02-Technician-us-2018-2022|T1F02|When using tactical identifiers such as “Race Headquarters” during a community service net operation, how often must your station transmit the station’s FCC-assigned call sign?|B||97.119 (a)|Once during every hour|At the end of each communication and every ten minutes during a communication|Never, the tactical call is sufficient|At the end of every transmission
T1F03-Technician-us-2018-2022|T1F03|When is an amateur station required to transmit its assigned call sign?|C||97.119(a)|At least once during each transmission|At least every 15 minutes during and at the end of a communication|At least every 10 minutes during and at the end of a communication|At the beginning of each contact, and every 10 minutes thereafter
T1F04-Technician-us-2018-2022|T1F04|Which of the following is an acceptable language to use for station identification when operating in a phone sub-band?|D||97.119(b)(2)|Any language recognized by the ITU|English, French, or Spanish|Any language recognized by the United Nations|The English language
T1F05-Technician-us-2018-2022|T1F05|What method of call sign identification is required for a station transmitting phone signals?|B||97.119(b)(2)|Send the call sign using only a phone emission|Send the call sign using a CW or phone emission|Send the call sign followed by the indicator RPT|Send the call sign followed by the indicator R
T1F06-Technician-us-2018-2022|T1F06|Which of the following formats of a self-assigned indicator is acceptable when identifying using a phone transmission?|D||97.119(c)|KL7CC slash W3|KL7CC stroke W3|KL7CC slant W3|All of these choices are correct
T1F07-Technician-us-2018-2022|T1F07|Which of the following restrictions apply when a non-licensed person is allowed to speak to a foreign station using a station under the control of a Technician class control operator?|A||97.115(a)(2)|The foreign station must be one with which the U.S. has a third-party agreement|The person must be a U.S. citizen|The licensed control operator must do the station identification|All of these choices are correct
T1F08-Technician-us-2018-2022|T1F08|What is meant by the term Third Party Communications?|C||97.3(a)(47)|Temporary authorization for an unlicensed person to transmit on the amateur bands for technical experiments|Amateur radio communications where three stations are in communications with one another|A message from a control operator to another amateur station control operator on behalf of another person|Operation when the transmitting equipment is licensed to a person other than the control operator
T1F09-Technician-us-2018-2022|T1F09|What type of amateur station simultaneously retransmits the signal of another amateur station on a different channel or channels?|B||97.3(a)(40)|Beacon station|Repeater station|Earth station|Message forwarding station
T1F10-Technician-us-2018-2022|T1F10|Who is accountable should a repeater inadvertently retransmit communications that violate the FCC rules?|A||97.205(g)|The control operator of the originating station|The control operator of the repeater|Both the originating station and the repeater owner|The owner of the repeater
T1F11-Technician-us-2018-2022|T1F11|Which of the following is a requirement for the issuance of a club station license grant?|C||97.5(b)(2)|The club must be registered with the American Radio Relay League|The trustee must have an Amateur Extra class operator license grant|The club must have at least four members|All of these choices are correct
T2A01-Technician-us-2018-2022|T2A01|Which of the following is a common repeater frequency offset in the 2 meter band?|D|||Plus or minus 1 MHz|Plus or minus 500 kHz|Plus or minus 5 MHz|Plus or minus 600 kHz
T2A02-Technician-us-2018-2022|T2A02|What is the national calling frequency for FM simplex operations in the 2 meter band?|D|||432.100 MHz|145.000 MHz|446.000 MHz|146.520 MHz
T2A03-Technician-us-2018-2022|T2A03|What is a common repeater frequency offset in the 70 cm band?|A|||Plus or minus 5 MHz|Plus or minus 1 MHz|Plus or minus 600 kHz|Plus or minus 500 kHz
T2A04-Technician-us-2018-2022|T2A04|What is an appropriate way to call another station on a repeater if you know the other station's call sign?|C|||Say "break, break," then say the station's call sign|Say "CQ" three times, then the other station's call sign|Say the station's call sign, then identify with your call sign|Wait for the station to call CQ, then answer it
T2A05-Technician-us-2018-2022|T2A05|How should you respond to a station calling CQ?|C|||Transmit "CQ" followed by the other station’s call sign|Transmit your call sign followed by the other station’s call sign|Transmit the other station’s call sign followed by your call sign|Transmit a signal report followed by your call sign
T2A06-Technician-us-2018-2022|T2A06|Which of the following is required when making on-the-air test transmissions?|A|||Identify the transmitting station|Notify the FCC of the transmissions|Conduct tests only between 10 p.m. and 6 a.m. local time|All of these choices are correct
T2A07-Technician-us-2018-2022|T2A07|What is meant by "repeater offset?"|B|||The repeater station identification is done on a separate frequency|The difference between a repeater’s transmit frequency and its receive frequency|The repeater has a time delay to prevent interference|The number of simultaneous transmit frequencies used by a repeater
T2A08-Technician-us-2018-2022|T2A08|What is the meaning of the procedural signal “CQ”?|D|||A new antenna is being tested (no station should answer)|Call on the quarter hour|Only the called station should transmit|Calling any station
T2A09-Technician-us-2018-2022|T2A09|What brief statement indicates that you are listening on a repeater and looking for a contact?|C|||The words “Hello test” followed by your call sign|The repeater call sign followed by your call sign|Your call sign|The letters “QSY” followed by your call sign
T2A10-Technician-us-2018-2022|T2A10|What is a band plan, beyond the privileges established by the FCC?|C|||A plan devised by a club to indicate frequency band usage|A list of scheduled net frequencies|A voluntary guideline for using different modes or activities within an amateur band|A mandated list of operating schedules
T2A11-Technician-us-2018-2022|T2A11|What term describes an amateur station that is transmitting and receiving on the same frequency?|B|||Multiplex|Simplex|Full duplex|Diplex
T2A12-Technician-us-2018-2022|T2A12|Which of the following is a guideline when choosing an operating frequency for calling CQ?|D|||Ask if the frequency is in use|Make sure you are in your assigned band|Listen first to be sure that no one else is using the frequency|All of these choices are correct
T2B01-Technician-us-2018-2022|T2B01|What is the most common use of the “reverse split” function of a VHF/UHF transceiver?|D|||Increase power output|Reduce power output|Listen on a repeater’s output frequency|Listen on a repeater’s input frequency
T2B02-Technician-us-2018-2022|T2B02|What term describes the use of a sub-audible tone transmitted along with normal voice audio to open the squelch of a receiver?|A|||CTCSS|DTMF|Carrier squelch|Tone burst
T2B03-Technician-us-2018-2022|T2B03|If a station is not strong enough to keep a repeater’s receiver squelch open, which of the following might allow you to receive the station’s signal?|A|||Listen on the repeater input frequency|Increase your transmit power|Open the squelch on your radio|Listen on the repeater output frequency
T2B04-Technician-us-2018-2022|T2B04|Which of the following could be the reason you are unable to access a repeater whose output you can hear?|D|||The repeater may require a proper DCS tone from your transceiver|Improper transceiver offset|The repeater may require a proper CTCSS tone from your transceiver|All of these choices are correct
T2B05-Technician-us-2018-2022|T2B05|What might be the problem if a repeater user says your transmissions are breaking up on voice peaks?|C|||Your transmit power is too high|You have the incorrect offset|You are talking too loudly|You need to talk louder
T2B06-Technician-us-2018-2022|T2B06|What type of tones are used to control repeaters linked by the Internet Relay Linking Project (IRLP) protocol?|A|||DTMF|EchoLink|CTCSS|Sub-audible
T2B07-Technician-us-2018-2022|T2B07|How can you join a digital repeater’s “talk group”?|D|||Join the repeater owner’s club|Sign your call after the courtesy tone|Register your radio with the local FCC office|Program your radio with the group’s ID or code
T2B08-Technician-us-2018-2022|T2B08|Which of the following applies when two stations transmitting on the same frequency interfere with each other?|B|||Whoever has the strongest signal has priority on the frequency|Common courtesy should prevail, but no one has absolute right to an amateur frequency|The station that has the weakest signal has priority on the frequency|Whoever has been on the frequency the longest has priority on the frequency
T2B09-Technician-us-2018-2022|T2B09|What is a “talk group” on a DMR digital repeater?|B|||A group of operators sharing common interests|A way for groups of users to share a channel at different times without being heard by other users on the channel|A net that meets at a particular time|A protocol that increases the signal-to-noise ratio when multiple repeaters are linked together
T2B10-Technician-us-2018-2022|T2B10|Which Q signal indicates that you are receiving interference from other stations?|D|||QRN|QSB|QTH|QRM
T2B11-Technician-us-2018-2022|T2B11|Which Q signal indicates that you are changing frequency?|B|||QSL|QSY|QRZ|QRU
T2B12-Technician-us-2018-2022|T2B12|Why are simplex channels designated in the VHF/UHF band plans?|A|||So that stations within mutual communications range can communicate without tying up a repeater|For working DX only|For contest operation|So that stations with simple transmitters can access the repeater without automated offset
T2B13-Technician-us-2018-2022|T2B13|Where may SSB phone be used in amateur bands above 50 MHz?|C|||On any band as long as power is limited to 25 watts|Only on repeaters|In at least some portion of all these bands|Only in sub-bands allocated to General class or higher licensees
T2B14-Technician-us-2018-2022|T2B14|Which of the following describes a linked repeater network?|A|||A network of repeaters where signals received by one repeater are repeated by all the repeaters|A system of repeaters linked by APRS|A repeater with more than one receiver|Multiple repeaters with the same owner
T2C01-Technician-us-2018-2022|T2C01|When do the FCC rules NOT apply to the operation of an amateur station?|C||97.103(a)|When operating a RACES station|When operating under special FEMA rules|Never, FCC rules always apply|When operating under special ARES rules
T2C02-Technician-us-2018-2022|T2C02|What is meant by the term "NCS" used in net operation?|C|||National Communications Standard|Normal Communications Syntax|Net Control Station|Nominal Control System
T2C03-Technician-us-2018-2022|T2C03|What should be done when using voice modes to ensure that voice messages containing unusual words are received correctly?|C|||Send the words by voice and Morse code|Speak very loudly into the microphone|Spell the words using a standard phonetic alphabet|All of these choices are correct
T2C04-Technician-us-2018-2022|T2C04|What do RACES and ARES have in common?|C|||Both organizations broadcast road and weather information|Neither may handle emergency traffic supporting public service agencies|Both organizations may provide communications during emergencies|They represent the two largest ham clubs in the United States
T2C05-Technician-us-2018-2022|T2C05|What does the term “traffic” refer to in net operation?|D|||Operation by mobile or portable stations|The number of stations checking in and out of a net|Requests to activate the net by a served agency|Formal messages exchanged by net stations
T2C06-Technician-us-2018-2022|T2C06|Which of the following is an accepted practice to get the immediate attention of a net control station when reporting an emergency?|A|||Begin your transmission by saying "Priority" or "Emergency" followed by your call sign|Play a pre-recorded emergency alert tone followed by your call sign|Repeat "SOS" three times followed by the call sign of the reporting station|Press the push-to-talk button three times
T2C07-Technician-us-2018-2022|T2C07|Which of the following is an accepted practice for an amateur operator who has checked into a net?|B|||Move 5 kHz away from the net's frequency and use high power to ask other hams to keep clear of the net frequency|Remain on frequency without transmitting until asked to do so by the net control station|Provided that the frequency is quiet, announce the station call sign and location every 5 minutes|All of these choices are correct
T2C08-Technician-us-2018-2022|T2C08|Which of the following is a characteristic of good traffic handling?|A|||Passing messages exactly as received|Making decisions as to whether messages are worthy of relay or delivery|Ensuring that any newsworthy messages are relayed to the news media|All of these choices are correct
T2C09-Technician-us-2018-2022|T2C09|Are amateur station control operators ever permitted to operate outside the frequency privileges of their license class?|D|||Yes, but only when part of a FEMA emergency plan|Yes, but only when part of a RACES emergency plan|No|Yes, but only if necessary in situations involving the immediate safety of human life or protection of property
T2C10-Technician-us-2018-2022|T2C10|What information is contained in the preamble of a formal traffic message?|C|||The email address of the originating station|The telephone number of the addressee|The information needed to track the message|The address of the intended recipient
T2C11-Technician-us-2018-2022|T2C11|What is meant by the term “check,” in reference to a formal traffic message?|A|||The number of words or word equivalents in the text portion of the message|A box on the message form that indicates that the message was received and/or relayed|A list of stations that have relayed the message|The value of a money order attached to the message
T2C12-Technician-us-2018-2022|T2C12|What is the Amateur Radio Emergency Service (ARES)?|B|||Licensed amateurs who are members of the military and who voluntarily agreed to provide message handling services in the case of an emergency|Licensed amateurs who have voluntarily registered their qualifications and equipment for communications duty in the public service|A training program that certifies amateur operators for membership in the Radio Amateur Civil Emergency Service|A training program that provides licensing courses for those interested in obtaining an amateur license to use during emergencies
T3A01-Technician-us-2018-2022|T3A01|What should you do if another operator reports that your station’s 2 meter signals were strong just a moment ago, but now they are weak or distorted?|D|||Turn on the CTCSS tone|Ask the other operator to adjust his squelch control|Change the batteries in your radio to a different type|Try moving a few feet or changing the direction of your antenna if possible, as reflections may be causing multi-path distortion
T3A02-Technician-us-2018-2022|T3A02|Why might the range of VHF and UHF signals be greater in the winter?|D|||Less solar activity|Less ionospheric absorption|Less tropospheric absorption|Less absorption by vegetation
T3A03-Technician-us-2018-2022|T3A03|What antenna polarization is normally used for long-distance weak-signal CW and SSB contacts using the VHF and UHF bands?|A|||Horizontal|Right-hand circular|Vertical|Left-hand circular
T3A04-Technician-us-2018-2022|T3A04|What can happen if the antennas at opposite ends of a VHF or UHF line of sight radio link are not using the same polarization?|A|||Signals could be significantly weaker|The modulation sidebands might become inverted|Signals have an echo effect on voices|Nothing significant will happen
T3A05-Technician-us-2018-2022|T3A05|When using a directional antenna, how might your station be able to access a distant repeater if buildings or obstructions are blocking the direct line of sight path?|C|||Increase the antenna SWR|Change from vertical to horizontal polarization|Try to find a path that reflects signals to the repeater|Try the long path
T3A06-Technician-us-2018-2022|T3A06|What term is commonly used to describe the rapid fluttering sound sometimes heard from mobile stations that are moving while transmitting?|A|||Picket fencing|Frequency shifting|Flip-flopping|Pulsing
T3A07-Technician-us-2018-2022|T3A07|What type of wave carries radio signals between transmitting and receiving stations?|A|||Electromagnetic|Ferromagnetic|Electrostatic|Surface acoustic
T3A08-Technician-us-2018-2022|T3A08|Which of the following is a likely cause of irregular fading of signals received by ionospheric reflection?|B|||Intermodulation distortion|Random combining of signals arriving via different paths|Interference from thunderstorms|Frequency shift due to Faraday rotation
T3A09-Technician-us-2018-2022|T3A09|Which of the following results from the fact that skip signals refracted from the ionosphere are elliptically polarized?|B|||FM voice is unusable|Either vertically or horizontally polarized antennas may be used for transmission or reception|Both the transmitting and receiving antennas must be of the same polarization|Digital modes are unusable
T3A10-Technician-us-2018-2022|T3A10|What may occur if data signals arrive via multiple paths?|B|||Transmission rates can be increased by a factor equal to the number of separate paths observed|Error rates are likely to increase|Transmission rates must be decreased by a factor equal to the number of separate paths observed|No significant changes will occur if the signals are transmitted using FM
T3A11-Technician-us-2018-2022|T3A11|Which part of the atmosphere enables the propagation of radio signals around the world?|D|||The stratosphere|The magnetosphere|The troposphere|The ionosphere
T3A12-Technician-us-2018-2022|T3A12|How might fog and light rain affect radio range on the 10 meter and 6 meter bands?|B|||Fog and rain will deflect these signals|Fog and light rain will have little effect on these bands|Fog and rain absorb these wavelength bands|Fog and rain will increase radio range
T3A13-Technician-us-2018-2022|T3A13|What weather condition would decrease range at microwave frequencies?|B|||Low barometric pressure|Precipitation|High winds|Colder temperatures
T3B01-Technician-us-2018-2022|T3B01|What is the name for the distance a radio wave travels during one complete cycle?|A|||Wavelength|Wave speed|Waveform|Wave spread
T3B02-Technician-us-2018-2022|T3B02|What property of a radio wave is used to describe its polarization?|A|||The orientation of the electric field|The ratio of the velocity to the wavelength|The ratio of the energy in the magnetic field to the energy in the electric field|The orientation of the magnetic field
T3B03-Technician-us-2018-2022|T3B03|What are the two components of a radio wave?|C|||Voltage and current|AC and DC|Electric and magnetic fields|Ionizing and non-ionizing radiation
